,country,sex,height,weight,age,years_cl,grades_max,grades_mean,year_last,max_fra
1332,POL,0,173,68,29.0,13,68,53.642857142857146,2013,8c/+
1333,POL,0,175,63,24.0,8,64,52.18,2009,8b/+
1334,SWE,0,182,73,33.0,8,53,46.7,2009,7b+
1335,BRA,0,173,63,39.0,15,62,51.09183673469388,2017,8a+/8b
1336,SWE,0,175,68,31.0,8,53,41.66315789473684,2012,7b+
1337,SVN,0,180,68,27.0,20,72,61.01846153846154,2017,9a/+
1338,POL,0,185,73,20.0,4,59,48.01449275362319,2007,8a
1339,POL,0,193,83,33.0,14,63,48.05876777251185,2017,8b
1340,CHE,0,175,53,21.0,9,66,57.689655172413794,2009,8b+/8c
1341,ITA,0,182,73,36.0,13,62,57.583333333333336,2010,8a+/8b
1342,DEU,0,178,68,45.0,27,64,52.656565656565654,2017,8b/+
1343,SWE,0,182,78,37.0,13,66,48.72,2015,8b+/8c
1344,ITA,0,175,68,34.0,17,68,50.77536231884058,2017,8c/+
1345,NLD,0,179,68,34.0,17,53,48.35897435897436,2017,7b+
1346,ESP,0,172,53,18.0,13,64,56.0,2008,8b/+
1347,other,0,174,58,22.0,15,57,50.375,2011,7c+
1348,CHE,0,183,78,37.0,24,70,57.49090909090909,2014,8c+/9a
1349,NLD,0,186,68,23.0,7,55,50.76923076923077,2007,7c
1350,ESP,0,180,73,28.0,11,44,41.0,2005,6c/+
1351,AUS,0,178,78,41.0,12,56,50.91489361702128,2013,7c/+
1352,ITA,0,170,53,26.0,18,75,58.52020202020202,2017,9b
1353,FRA,0,187,83,26.0,20,56,47.13636363636363,2013,7c/+
1354,other,0,168,58,30.0,16,70,65.33333333333333,2011,8c+/9a
1355,other,0,171,58,26.0,11,62,59.2,2011,8a+/8b
1356,DNK,0,182,78,31.0,8,62,51.45652173913044,2007,8a+/8b
1357,SWE,0,177,68,30.0,18,68,48.0,2012,8c/+
1358,AUT,0,178,83,33.0,13,53,43.69620253164557,2014,7b+
1359,ITA,0,173,63,35.0,20,66,58.674418604651166,2017,8b+/8c
1360,SWE,0,178,78,21.0,7,59,50.529411764705884,2008,8a
1361,FRA,0,170,63,22.0,16,70,58.06896551724138,2016,8c+/9a
1362,FRA,0,169,63,20.0,15,70,58.824074074074076,2015,8c+/9a
1363,POL,0,179,68,34.0,17,62,47.43569553805774,2016,8a+/8b
1364,DNK,0,182,73,28.0,6,51,42.63157894736842,2009,7b
1365,ITA,0,174,58,35.0,8,58,51.60377358490566,2008,7c+/8a
1366,ESP,0,179,68,39.0,12,55,41.15526802218115,2017,7c
1367,FRA,0,179,63,30.0,20,63,53.10897435897436,2016,8b
1368,ITA,0,174,63,34.0,14,64,54.3031914893617,2017,8b/+
1369,SWE,0,174,68,28.0,6,57,50.75,2006,7c+
1370,SWE,0,190,78,40.0,14,57,43.42242703533026,2017,7c+
1371,NOR,0,191,88,49.0,18,55,43.44897959183673,2015,7c
1372,SVN,0,173,68,19.0,7,66,64.0,2005,8b+/8c
1373,FRA,0,184,68,36.0,13,59,52.142857142857146,2014,8a
1374,ESP,0,180,68,37.0,17,51,44.34782608695652,2017,7b
1375,SVN,0,181,73,28.0,3,53,36.49586776859504,2008,7b+
1376,other,0,180,73,18.0,10,72,59.61538461538461,2008,9a/+
1377,CZE,0,188,73,19.0,5,57,54.333333333333336,2005,7c+
1378,FRA,0,170,58,19.0,7,70,61.42424242424242,2005,8c+/9a
1379,ESP,0,174,63,28.0,4,55,49.2962962962963,2006,7c
1380,POL,0,171,63,31.0,18,66,52.6063829787234,2017,8b+/8c
1381,CZE,0,185,68,17.0,5,52,50.0,2005,7b/+
1382,PRT,0,169,63,34.0,13,59,44.914529914529915,2007,8a
1383,NLD,0,178,68,38.0,20,62,53.13636363636363,2010,8a+/8b
1384,CHE,0,172,68,49.0,14,49,41.333333333333336,2009,7a+
1385,FRA,0,179,63,24.0,7,66,54.76712328767123,2011,8b+/8c
1386,other,0,184,78,25.0,6,59,48.55118110236221,2009,8a
1387,POL,0,170,68,44.0,17,64,47.146153846153844,2017,8b/+
1388,SWE,0,184,73,26.0,9,55,45.51724137931034,2009,7c
1389,ESP,0,170,68,35.0,5,42,34.23076923076923,2010,6b+/6c
1390,ESP,0,165,63,39.0,22,64,60.7027027027027,2010,8b/+
1391,BEL,0,178,68,28.0,15,72,57.73455978975033,2017,9a/+
1392,ESP,0,170,63,24.0,6,53,48.6,2004,7b+
1393,SWE,0,180,73,29.0,12,64,53.48,2016,8b/+
1394,FRA,0,180,63,19.0,3,53,49.8,2007,7b+
1395,USA,0,182,68,22.0,8,55,52.125,2009,7c
1396,FRA,0,183,73,34.0,10,49,39.48717948717949,2010,7a+
1397,ESP,0,183,63,30.0,3,38,32.45454545454545,2008,6a+/6b
1398,SWE,0,173,73,29.0,3,55,47.375,2007,7c
1399,other,0,175,68,36.0,15,55,42.89473684210526,2017,7c
1400,SVN,0,175,68,39.0,19,55,43.05128205128205,2008,7c
1401,ITA,0,174,58,30.0,14,62,51.784615384615385,2009,8a+/8b
1402,USA,0,177,63,27.0,7,62,50.927536231884055,2009,8a+/8b
1403,RUS,0,178,63,38.0,17,62,44.666666666666664,2015,8a+/8b
1404,USA,0,183,73,18.0,13,57,49.940298507462686,2008,7c+
1405,DEU,0,187,73,27.0,18,62,42.28111587982833,2017,8a+/8b
1406,ITA,0,180,68,37.0,18,64,51.08311688311688,2017,8b/+
1407,USA,0,190,88,33.0,22,68,59.326530612244895,2017,8c/+
1408,USA,0,192,78,27.0,8,46,41.0,2007,6c+/7a
1409,RUS,0,178,73,22.0,8,70,59.34848484848485,2008,8c+/9a
1410,POL,0,174,63,32.0,7,59,44.197826086956525,2013,8a
1411,CHE,0,175,73,28.0,19,66,58.046052631578945,2017,8b+/8c
1412,FRA,0,172,53,23.0,4,64,60.583333333333336,1997,8b/+
1413,CHE,0,181,88,38.0,5,49,47.5,2008,7a+
1414,DNK,0,178,73,32.0,6,46,41.57142857142857,2009,6c+/7a
1415,FRA,0,180,78,30.0,14,64,55.48672566371681,2010,8b/+
1416,FRA,0,170,68,28.0,5,49,40.857142857142854,2009,7a+
1417,USA,0,183,83,28.0,8,55,46.875,2002,7c
1418,RUS,0,170,68,26.0,3,42,40.666666666666664,2005,6b+/6c
1419,SVN,0,172,63,18.0,7,64,54.285714285714285,2009,8b/+
1420,FRA,0,185,73,46.0,18,53,50.044444444444444,2008,7b+
