,user_id,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
23832,50658,2013-08-07 22:00:00,2014-05-27 22:00:00,11,49,57,57,51.27272727272727,2013,2014
23833,50659,2013-05-11 22:00:00,2016-02-01 23:00:00,126,44,51,57,44.507936507936506,2013,2016
23834,50662,2014-03-04 23:00:00,2017-07-07 22:00:00,185,49,62,62,53.027027027027025,2014,2017
23835,50664,2014-07-09 22:00:00,2016-07-09 22:00:00,54,51,40,62,44.18518518518518,2014,2016
23836,50667,2013-01-22 23:00:00,2013-05-03 22:00:00,15,36,36,42,36.0,2013,2013
23837,50668,2013-08-17 22:00:00,2014-07-17 22:00:00,8,46,42,49,44.75,2013,2014
23838,50669,2013-08-07 22:00:00,2013-09-03 22:00:00,9,31,21,31,24.11111111111111,2013,2013
23839,50671,2013-08-08 22:00:00,2013-10-31 23:00:00,20,42,40,53,45.15,2013,2013
23840,50672,2015-09-25 22:00:00,2015-10-02 22:00:00,53,44,29,49,37.60377358490566,2015,2015
23841,50673,2013-09-16 22:00:00,2017-05-14 22:00:00,147,36,49,53,42.40816326530612,2013,2017
23842,50675,2013-08-01 22:00:00,2017-04-10 22:00:00,288,49,42,57,42.88194444444444,2013,2017
23843,50679,2011-11-25 23:00:00,2016-12-30 23:00:00,243,49,46,57,45.218106995884774,2011,2016
23844,50681,2012-09-08 22:00:00,2017-09-09 22:00:00,1205,13,40,66,39.91369294605809,2012,2017
23845,50684,2013-08-10 22:00:00,2013-08-10 22:00:00,5,64,40,64,50.0,2013,2013
23846,50690,2013-08-10 22:00:00,2015-05-23 22:00:00,13,49,49,53,46.0,2013,2015
23847,50692,2014-04-20 22:00:00,2014-04-20 22:00:00,2,62,64,64,63.0,2014,2014
23848,50693,2013-08-10 22:00:00,2013-07-30 22:00:00,2,31,28,31,29.5,2013,2013
23849,50695,2013-08-10 22:00:00,2013-08-10 22:00:00,2,42,44,44,43.0,2013,2013
23850,50698,2013-07-27 22:00:00,2013-08-28 22:00:00,9,31,42,42,32.44444444444444,2013,2013
23851,50699,2013-07-12 22:00:00,2013-08-06 22:00:00,5,37,44,44,39.4,2013,2013
23852,50701,2013-07-12 22:00:00,2017-08-14 22:00:00,74,33,33,51,35.986486486486484,2013,2017
23853,50703,2012-06-23 22:00:00,2017-06-03 22:00:00,58,51,51,53,44.172413793103445,2012,2017
23854,50707,2013-08-10 22:00:00,2017-07-04 22:00:00,51,38,48,49,39.6078431372549,2013,2017
23855,50710,2013-08-10 22:00:00,2014-04-04 22:00:00,13,20,21,33,26.692307692307693,2013,2014
23856,50711,2013-08-11 22:00:00,2014-05-09 22:00:00,4,40,36,40,35.75,2013,2014
23857,50716,2013-09-14 22:00:00,2013-10-19 22:00:00,27,44,51,53,42.96296296296296,2013,2013
23858,50718,2014-11-29 23:00:00,2015-01-04 23:00:00,9,61,54,63,57.888888888888886,2014,2015
23859,50721,2009-06-12 22:00:00,2013-08-10 22:00:00,15,49,44,51,44.666666666666664,2009,2013
23860,50722,2013-08-09 22:00:00,2015-06-08 22:00:00,55,35,40,46,38.50909090909091,2013,2015
23861,50724,2013-07-27 22:00:00,2013-09-13 22:00:00,36,44,51,53,43.5,2013,2013
23862,50727,2013-05-31 22:00:00,2015-08-22 22:00:00,25,39,40,53,40.88,2013,2015
23863,50729,2013-07-26 22:00:00,2014-08-11 22:00:00,17,36,25,42,30.294117647058822,2013,2014
23864,50735,2011-07-29 22:00:00,2017-09-09 22:00:00,918,42,33,62,43.50871459694989,2011,2017
23865,50737,2013-05-06 22:00:00,2016-05-06 22:00:00,50,53,66,70,57.58,2013,2016
23866,50740,2013-07-19 22:00:00,2017-09-08 22:00:00,82,40,40,49,34.207317073170735,2013,2017
23867,50744,2013-08-13 22:00:00,2017-08-29 22:00:00,153,53,62,66,53.568627450980394,2013,2017
23868,50746,2014-03-14 23:00:00,2017-07-28 22:00:00,60,40,44,51,41.666666666666664,2014,2017
23869,50750,2013-08-14 22:00:00,2013-03-24 23:00:00,3,38,53,53,47.333333333333336,2013,2013
23870,50751,2013-07-08 22:00:00,2014-07-09 22:00:00,38,36,36,44,35.44736842105263,2013,2014
23871,50755,2013-08-18 22:00:00,2013-08-18 22:00:00,1,40,40,40,40.0,2013,2013
23872,50758,2013-05-11 22:00:00,2012-09-05 22:00:00,14,48,57,57,51.214285714285715,2013,2012
23873,50759,2013-08-14 22:00:00,2013-08-14 22:00:00,1,33,33,33,33.0,2013,2013
23874,50761,2013-08-14 22:00:00,2014-04-20 22:00:00,10,40,36,42,38.9,2013,2014
23875,50762,2013-07-26 22:00:00,2013-11-09 23:00:00,13,53,55,56,52.53846153846154,2013,2013
